,id,label_id,free_text,CLEAN,OFFENSIVE,HATE
0,train_aabeeyfurc,0,"🎀 Đồ đẹp mà không tậu cho mình một bộ là có lỗi zí bản thân lắm luôn nha nàng😄.
❗️ Thanh xuân là để điệu đà😉.
Chỉ 💵 150.000.
👉 Là có ngay một bộ cực yêu😘.
👉 Tuyển sỉ toàn quốc giá tuyệt vời luôn nè Lê Thư added 5 new photos. <URL> Photos from Lê Thư's post",1,0,0
1,train_aabetrttaa,0,Ngáo vl =)))),1,0,0
2,train_aaccolapwa,0,Son nhiu v mimi,1,0,0
3,train_aacoaahwdb,0,Hanh Ha Lâm Hằng Hang Nguyen,1,0,0
4,train_aaczjqfhfk,0,"Nguyen Tam shared a post to the group: Chợ chung cư petroland quận 2. <URL> Shalom Music Academy .
 MÙA HÈ MỚI - CƠ SỞ MỚI.
Shalom Music Academy vô cùng hân hoan thông báo cùng quí phụ huynh rằng chúng tôi vừa tưng bừng khai trương thêm một cơ sở mới tại KCD Siêu Cao Cấp LAKEVIEW CITY Q2. Trân trọng kính mời xem qua hình ảnh trong clip.
.
Nhân dịp khai trương cơ sở mới #Shalom_Music_Academy TẶNG NGAY 500K cho tất cả các học viên mới hoặc đã từng tham gia học tập với SMA quay trở lại đăng ký khoá mới. (chương trình ưu đãi kéo dài đến hết ngày 1/6/2019, Áp dụng tại cơ sở Lakeview city Q2).
.
ĐĂNG KÝ NGAY qua HOTLINE : 0938575152",1,0,0
5,train_aaelnqhrbe,0,"Thế Giới Đồ Cũ shared a post to the group: Hội mua bán thanh lý đồ cũ MẸ và BÉ ĐÀ NẴNG. <URL> Thế Giới .
 tủ nấu cơm công nghiệp còn mới keng .
Nấu được số lượng lớn .
Nhanh hiệu quả ...
Giá mềm cho bạn nào có nhu cầu .
Liên hệ xdm hành k383/36 hải phòng",1,0,0
6,train_aafqvlshoy,0,60k chất kate thai,1,0,0
7,train_aafwikdcpx,0,Khánh Hào phim hành động :v,1,0,0
8,train_aagxxplhgx,0,Cho xíu nhạc đi a,1,0,0
9,train_aajcphdemi,0,"R chớ.
Nhưng bị cắm cũng hp vl",1,0,0
10,train_aakkehlwhq,0,Mấy thằng tên Đạt nguy hiểm vl 😌,1,0,0
11,train_aalwwgjvib,0,"1kgw điện thì tính 1 bậc giá hà cớ gì 1kgw điện 6 bậc giá.trong lúc đó điện sản xuất ,điện kinh doanh thì chỉ tính 1 bậc giá.mấy ông quan này toàn làm khổ những tầng lớp nông dân nghèo .",1,0,0
12,train_aamxfkpeno,0,"Lý Hằng Nga <URL> SHOP HÀ MÂY- Sỉ Lẻ Thời Trang Giá Rẻ .
 Không hẹn mà lên nhé các ty",1,0,0
